time,P,poa_direct,poa_sky_diffuse,poa_ground_diffuse,solar_elevation,temp_air,wind_speed,Int
2019-01-01 00:10:00+00:00,0.0,0.0,0.0,0.0,0.0,6.27,4.34,0
2019-01-01 01:10:00+00:00,0.0,0.0,0.0,0.0,0.0,6.17,4.48,0
2019-01-01 02:10:00+00:00,0.0,0.0,0.0,0.0,0.0,6.0,4.41,0
2019-01-01 03:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.79,4.28,0
2019-01-01 04:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.5,4.14,0
2019-01-01 05:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.25,3.93,0
2019-01-01 06:10:00+00:00,0.0,0.0,0.0,0.0,0.0,4.9,3.66,0
2019-01-01 07:10:00+00:00,3.19,0.0,19.62,0.29,4.22,5.25,4.14,0
2019-01-01 08:10:00+00:00,12.78,0.0,50.82,0.76,12.53,5.81,3.79,0
2019-01-01 09:10:00+00:00,16.24,0.0,61.52,0.92,19.13,7.32,3.31,0
2019-01-01 10:10:00+00:00,17.34,0.0,65.09,0.98,23.48,8.67,3.52,0
2019-01-01 11:10:00+00:00,17.84,0.0,66.87,1.0,25.1,9.65,3.24,0
2019-01-01 12:10:00+00:00,17.49,0.0,65.98,0.99,23.78,10.27,2.9,0
2019-01-01 13:10:00+00:00,18.06,0.0,67.77,1.02,19.69,10.52,2.55,0
2019-01-01 14:10:00+00:00,10.19,0.0,43.69,0.66,13.3,10.53,2.28,0
2019-01-01 15:10:00+00:00,4.57,0.0,24.97,0.38,5.14,9.93,1.93,0
2019-01-01 16:10:00+00:00,0.0,0.0,0.0,0.0,0.0,8.73,2.21,0
2019-01-01 17:10:00+00:00,0.0,0.0,0.0,0.0,0.0,7.66,2.34,0
2019-01-01 18:10:00+00:00,0.0,0.0,0.0,0.0,0.0,6.59,2.21,0
2019-01-01 19:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.66,2.07,0
2019-01-01 20:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.44,1.52,0
2019-01-01 21:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.15,1.38,0
2019-01-01 22:10:00+00:00,0.0,0.0,0.0,0.0,0.0,4.16,1.52,0
2019-01-01 23:10:00+00:00,0.0,0.0,0.0,0.0,0.0,3.15,1.59,0
2019-01-02 00:10:00+00:00,0.0,0.0,0.0,0.0,0.0,2.52,1.59,0
2019-01-02 01:10:00+00:00,0.0,0.0,0.0,0.0,0.0,2.34,1.52,0
2019-01-02 02:10:00+00:00,0.0,0.0,0.0,0.0,0.0,2.24,1.59,0
2019-01-02 03:10:00+00:00,0.0,0.0,0.0,0.0,0.0,1.9,1.72,0
2019-01-02 04:10:00+00:00,0.0,0.0,0.0,0.0,0.0,1.47,1.93,0
2019-01-02 05:10:00+00:00,0.0,0.0,0.0,0.0,0.0,1.47,2.07,0
2019-01-02 06:10:00+00:00,0.0,0.0,0.0,0.0,0.0,1.86,2.21,0
2019-01-02 07:10:00+00:00,4.24,0.0,23.18,0.35,4.21,2.75,2.07,0
2019-01-02 08:10:00+00:00,24.78,0.0,85.6,1.29,12.54,4.7,2.0,0
2019-01-02 09:10:00+00:00,18.3,0.0,67.77,1.02,19.17,7.72,2.0,0
2019-01-02 10:10:00+00:00,18.84,0.0,69.55,1.05,23.54,8.5,2.62,0
2019-01-02 11:10:00+00:00,53.53,0.0,168.52,2.53,25.18,9.78,4.07,0
2019-01-02 12:10:00+00:00,17.51,0.0,65.98,0.99,23.88,10.33,5.38,0
2019-01-02 13:10:00+00:00,14.79,0.0,57.96,0.87,19.81,11.06,6.34,0
2019-01-02 14:10:00+00:00,13.61,0.0,54.39,0.82,13.43,11.24,6.83,0
2019-01-02 15:10:00+00:00,3.1,0.0,19.62,0.29,5.27,10.39,6.62,0
2019-01-02 16:10:00+00:00,0.0,0.0,0.0,0.0,0.0,8.72,6.48,0
2019-01-02 17:10:00+00:00,0.0,0.0,0.0,0.0,0.0,7.38,6.62,0
2019-01-02 18:10:00+00:00,0.0,0.0,0.0,0.0,0.0,6.42,6.55,0
2019-01-02 19:10:00+00:00,0.0,0.0,0.0,0.0,0.0,6.72,6.34,0
2019-01-02 20:10:00+00:00,0.0,0.0,0.0,0.0,0.0,6.32,6.62,0
2019-01-02 21:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.7,6.28,0
2019-01-02 22:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.18,5.93,0
2019-01-02 23:10:00+00:00,0.0,0.0,0.0,0.0,0.0,4.75,5.86,0
2019-01-03 00:10:00+00:00,0.0,0.0,0.0,0.0,0.0,4.5,6.28,0
2019-01-03 01:10:00+00:00,0.0,0.0,0.0,0.0,0.0,4.28,6.76,0
2019-01-03 02:10:00+00:00,0.0,0.0,0.0,0.0,0.0,3.92,6.83,0
2019-01-03 03:10:00+00:00,0.0,0.0,0.0,0.0,0.0,3.52,6.55,0
2019-01-03 04:10:00+00:00,0.0,0.0,0.0,0.0,0.0,3.19,6.34,0
2019-01-03 05:10:00+00:00,0.0,0.0,0.0,0.0,0.0,2.93,6.34,0
2019-01-03 06:10:00+00:00,0.0,0.0,0.0,0.0,0.0,2.69,6.28,0
2019-01-03 07:10:00+00:00,3.24,0.0,19.62,0.29,4.22,2.77,5.79,0
2019-01-03 08:10:00+00:00,13.25,0.0,51.72,0.78,12.56,3.34,5.79,0
2019-01-03 09:10:00+00:00,16.5,0.0,61.52,0.92,19.21,4.49,5.59,0
2019-01-03 10:10:00+00:00,18.86,0.0,68.66,1.03,23.61,5.56,6.14,0
2019-01-03 11:10:00+00:00,57.87,0.0,177.44,2.67,25.27,6.22,6.41,0
2019-01-03 12:10:00+00:00,46.43,0.0,146.23,2.2,23.99,6.51,6.48,0
2019-01-03 13:10:00+00:00,23.11,0.0,81.14,1.22,19.94,6.48,6.55,0
2019-01-03 14:10:00+00:00,24.4,0.0,84.71,1.27,13.56,6.04,6.14,0
2019-01-03 15:10:00+00:00,4.95,0.0,25.86,0.39,5.41,5.34,5.59,0
2019-01-03 16:10:00+00:00,0.0,0.0,0.0,0.0,0.0,4.26,5.66,0
2019-01-03 17:10:00+00:00,0.0,0.0,0.0,0.0,0.0,3.46,5.59,0
2019-01-03 18:10:00+00:00,0.0,0.0,0.0,0.0,0.0,2.86,5.31,0
2019-01-03 19:10:00+00:00,0.0,0.0,0.0,0.0,0.0,2.73,5.17,0
2019-01-03 20:10:00+00:00,0.0,0.0,0.0,0.0,0.0,2.39,5.03,0
2019-01-03 21:10:00+00:00,0.0,0.0,0.0,0.0,0.0,2.13,4.83,0
2019-01-03 22:10:00+00:00,0.0,0.0,0.0,0.0,0.0,1.87,4.62,0
2019-01-03 23:10:00+00:00,0.0,0.0,0.0,0.0,0.0,1.63,4.34,0
2019-01-04 00:10:00+00:00,0.0,0.0,0.0,0.0,0.0,1.44,4.48,0
2019-01-04 01:10:00+00:00,0.0,0.0,0.0,0.0,0.0,1.31,4.69,0
2019-01-04 02:10:00+00:00,0.0,0.0,0.0,0.0,0.0,1.25,4.83,0
2019-01-04 03:10:00+00:00,0.0,0.0,0.0,0.0,0.0,1.13,4.9,0
2019-01-04 04:10:00+00:00,0.0,0.0,0.0,0.0,0.0,0.92,4.76,0
2019-01-04 05:10:00+00:00,0.0,0.0,0.0,0.0,0.0,0.73,4.62,0
2019-01-04 06:10:00+00:00,0.0,0.0,0.0,0.0,0.0,0.55,4.62,0
2019-01-04 07:10:00+00:00,3.03,0.0,18.72,0.28,4.23,0.48,4.55,0
2019-01-04 08:10:00+00:00,13.08,0.0,50.82,0.76,12.59,1.34,4.55,0
2019-01-04 09:10:00+00:00,17.85,0.0,65.09,0.98,19.26,2.85,4.41,0
2019-01-04 10:10:00+00:00,19.0,0.0,68.66,1.03,23.68,3.96,5.17,0
2019-01-04 11:10:00+00:00,19.56,0.0,70.44,1.06,25.37,4.53,5.31,0
2019-01-04 12:10:00+00:00,24.21,0.0,83.82,1.26,24.11,4.96,5.79,0
2019-01-04 13:10:00+00:00,8.78,0.0,38.34,0.58,20.07,5.13,5.79,0
2019-01-04 14:10:00+00:00,7.66,0.0,34.77,0.52,13.7,4.91,6.0,0
2019-01-04 15:10:00+00:00,4.2,0.0,23.18,0.35,5.55,4.25,5.93,0
2019-01-04 16:10:00+00:00,0.0,0.0,0.0,0.0,0.0,3.08,5.72,0
2019-01-04 17:10:00+00:00,0.0,0.0,0.0,0.0,0.0,2.2,5.59,0
2019-01-04 18:10:00+00:00,0.0,0.0,0.0,0.0,0.0,1.62,5.38,0
2019-01-04 19:10:00+00:00,0.0,0.0,0.0,0.0,0.0,1.41,4.62,0
2019-01-04 20:10:00+00:00,0.0,0.0,0.0,0.0,0.0,1.03,4.14,0
2019-01-04 21:10:00+00:00,0.0,0.0,0.0,0.0,0.0,0.8,4.0,0
2019-01-04 22:10:00+00:00,0.0,0.0,0.0,0.0,0.0,0.68,4.07,0
2019-01-04 23:10:00+00:00,0.0,0.0,0.0,0.0,0.0,0.54,3.93,0
2019-01-05 00:10:00+00:00,0.0,0.0,0.0,0.0,0.0,0.39,3.86,0
2019-01-05 01:10:00+00:00,0.0,0.0,0.0,0.0,0.0,0.28,3.79,0
2019-01-05 02:10:00+00:00,0.0,0.0,0.0,0.0,0.0,0.28,3.79,0
2019-01-05 03:10:00+00:00,0.0,0.0,0.0,0.0,0.0,0.19,3.72,0
2019-01-05 04:10:00+00:00,0.0,0.0,0.0,0.0,0.0,0.13,3.59,0
2019-01-05 05:10:00+00:00,0.0,0.0,0.0,0.0,0.0,0.09,3.45,0
2019-01-05 06:10:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,3.24,0
2019-01-05 07:10:00+00:00,4.56,0.0,24.07,0.36,4.25,0.31,3.24,0
