time,P,poa_direct,poa_sky_diffuse,poa_ground_diffuse,solar_elevation,temp_air,wind_speed,Int
2019-01-01 00:10:00+00:00,0.0,0.0,0.0,0.0,0.0,6.05,3.79,0
2019-01-01 01:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.96,3.86,0
2019-01-01 02:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.8,3.79,0
2019-01-01 03:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.59,3.66,0
2019-01-01 04:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.3,3.52,0
2019-01-01 05:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.06,3.31,0
2019-01-01 06:10:00+00:00,0.0,0.0,0.0,0.0,0.0,4.78,3.1,0
2019-01-01 07:10:00+00:00,3.43,0.0,20.51,0.31,4.21,5.15,3.45,0
2019-01-01 08:10:00+00:00,12.78,0.0,50.82,0.76,12.52,5.74,3.03,0
2019-01-01 09:10:00+00:00,17.44,0.0,65.09,0.98,19.12,7.32,2.62,0
2019-01-01 10:10:00+00:00,19.74,0.0,72.22,1.09,23.47,8.77,2.97,0
2019-01-01 11:10:00+00:00,24.51,0.0,86.49,1.3,25.08,9.78,2.76,0
2019-01-01 12:10:00+00:00,21.98,0.0,79.36,1.19,23.77,10.41,2.48,0
2019-01-01 13:10:00+00:00,19.23,0.0,71.33,1.07,19.68,10.66,2.14,0
2019-01-01 14:10:00+00:00,9.62,0.0,41.91,0.63,13.29,10.65,1.72,0
2019-01-01 15:10:00+00:00,5.07,0.0,26.75,0.4,5.13,9.94,1.31,0
2019-01-01 16:10:00+00:00,0.0,0.0,0.0,0.0,0.0,8.61,1.66,0
2019-01-01 17:10:00+00:00,0.0,0.0,0.0,0.0,0.0,7.52,1.93,0
2019-01-01 18:10:00+00:00,0.0,0.0,0.0,0.0,0.0,6.49,1.86,0
2019-01-01 19:10:00+00:00,0.0,0.0,0.0,0.0,0.0,5.4,1.79,0
2019-01-01 20:10:00+00:00,0.0,0.0,0.0,0.0,0.0,4.73,1.38,0
2019-01-01 21:10:00+00:00,0.0,0.0,0.0,0.0,0.0,4.01,1.31,0
2019-01-01 22:10:00+00:00,0.0,0.0,0.0,0.0,0.0,2.89,1.59,0
2019-01-01 23:10:00+00:00,0.0,0.0,0.0,0.0,0.0,2.04,1.66,0
2019-01-02 00:10:00+00:00,0.0,0.0,0.0,0.0,0.0,1.58,1.66,0
2019-01-02 01:10:00+00:00,0.0,0.0,0.0,0.0,0.0,1.3,1.59,0
2019-01-02 02:10:00+00:00,0.0,0.0,0.0,0.0,0.0,1.17,1.66,0
2019-01-02 03:10:00+00:00,0.0,0.0,0.0,0.0,0.0,1.18,1.79,0
2019-01-02 04:10:00+00:00,0.0,0.0,0.0,0.0,0.0,1.15,1.86,0
2019-01-02 05:10:00+00:00,0.0,0.0,0.0,0.0,0.0,1.25,1.93,0
2019-01-02 06:10:00+00:00,0.0,0.0,0.0,0.0,0.0,1.65,1.93,0
2019-01-02 07:10:00+00:00,3.74,0.0,21.4,0.32,4.21,2.39,1.72,0
2019-01-02 08:10:00+00:00,25.76,0.0,88.27,1.33,12.54,4.27,1.59,0
2019-01-02 09:10:00+00:00,20.76,0.0,74.9,1.13,19.16,7.28,1.59,0
2019-01-02 10:10:00+00:00,17.66,0.0,65.98,0.99,23.53,8.19,2.14,0
2019-01-02 11:10:00+00:00,58.9,0.0,183.68,2.76,25.17,9.72,3.52,0
2019-01-02 12:10:00+00:00,20.21,0.0,74.01,1.11,23.87,10.42,4.76,0
2019-01-02 13:10:00+00:00,16.55,0.0,63.31,0.95,19.8,11.21,5.79,0
